location,price,floor_size,bathrooms,bedrooms,parking
"['Green Point', 'Zonnebloem', 'Constantia', 'Green Point', 'Kenilworth', 'Constantia', 'Pinelands', 'Wynberg Upper', 'Tamboerskloof', 'Pinelands', 'Cape Town City Centre', 'Diep River', 'Walmer Estate', 'Ottery']","['\n\n            R 8\xa0750\xa0000\n        ', '\n\n            R 1\xa0799\xa0000\n        ', '\n\n            R 5\xa0700\xa0000\n        ', '\n\n            R 8\xa0750\xa0000\n        ', '\n\n            R 2\xa0775\xa0000\n        ', '\n\n            R 5\xa0995\xa0000\n        ', '\n\n            R 1\xa0895\xa0000\n        ', '\n\n            R 1\xa0750\xa0000\n        ', '\n\n            R 2\xa0900\xa0000\n        ', '\n\n            R 1\xa0895\xa0000\n        ', '\n\n            R 975\xa0000\n        ', '\n\n            R 3\xa0200\xa0000\n        ', '\n\n            R 6\xa0995\xa0000\n        ', '\n\n            R 1\xa0050\xa0000\n        ']","['175 m²', None, '253 m²', '175 m²', '139 m²', '1 487 m²', '75 m²', '53 m²', '92 m²', '75 m²', '32 m²', '544 m²', '402 m²', None]","['2', '1', '3', '2', '2.5', '3', '1', '1', '1', '1', '1', '3', '3', '1']","['2', '2', '3', '2', '3', '3', '2', '1', '3', '2', '1', '5', '3', '2']","['2', '1', '2', '2', '3', '3', '2', '1', '1', '2', '1', '4', '4', '1']"
"['Sea Point', 'Tokai', 'Camps Bay', 'Kenilworth Upper', 'Gardens', 'Sea Point', 'Parkwood', 'Bantry Bay', 'Sea Point', 'Kenilworth', 'Sea Point', 'Zonnebloem', 'Retreat', 'Thornton', 'Waterfront', 'Tamboerskloof', 'Langa', 'Southfield', 'Pinelands', 'Retreat', 'Claremont Upper']","['\n\n            R 15\xa0999\xa0000\n        ', '\n\n            R 4\xa0450\xa0000\n        ', '\n\n            R 13\xa0950\xa0000\n        ', '\n\n            R 20\xa0000\xa0000\n        ', '\n\n            R 4\xa0850\xa0000\n        ', '\n\n            R 4\xa0950\xa0000\n        ', '\n\n            R 690\xa0000\n        ', '\n\n            R 3\xa0500\xa0000\n        ', '\n\n            R 6\xa0250\xa0000\n        ', '\n\n            R 1\xa0500\xa0000\n        ', '\n\n            R 2\xa0850\xa0000\n        ', '\n\n            R 1\xa0090\xa0000\n        ', '\n\n            R 1\xa0695\xa0000\n        ', '\n\n            R 720\xa0000\n        ', '\n\n            R 8\xa0500\xa0000\n        ', '\n\n            R 4\xa0950\xa0000\n        ', '\n\n            R 849\xa0000\n        ', '\n\n            R 2\xa0395\xa0000\n        ', '\n\n            R 3\xa0250\xa0000\n        ', '\n\n            R 1\xa0695\xa0000\n        ', '\n\n            R 1\xa0599\xa0000\n        ']","['300 m²', '1 085 m²', '659 m²', '2 842 m²', '252 m²', '281 m²', None, '86 m²', '140 m²', None, '67 m²', '32 m²', None, None, '126 m²', '93 m²', '256 m²', '530 m²', '818 m²', None, '54 m²']","['4.5', '3', '3.5', '8', '4.5', '2', '1', '1', '3', '1', '2', '1', '2', '1', '1', '2', '2', '2', '2', '2', '1']","['4', '4', '4', '8', '4', '2', '3', '2', '3', '2', '1', None, '5', '1', '1', '2', '4', '4', '3', '5', '1']","['2', '5', '4', '11', '2', '1', '6', None, '2', '2', '1', '1', None, '1', '1', '1', '2', '4', '3', None, '1']"
"['Observatory', 'Green Point', 'Diep River', 'Lakeside', 'Wynberg', 'Rondebosch', 'Pinelands', 'Foreshore', 'Rondebosch', 'Waterfront', 'Kenwyn', 'Bantry Bay', 'Kenilworth', 'Newlands', 'Rondebosch', 'Sea Point', 'Oranjezicht', 'Rondebosch', 'Thornton', 'Newlands', 'Muizenberg']","['\n\n            R 1\xa0900\xa0000\n        ', '\n\n            R 9\xa0250\xa0000\n        ', '\n\n            R 3\xa0295\xa0000\n        ', '\n\n            R 1\xa0825\xa0000\n        ', '\n\n            R 895\xa0000\n        ', '\n\n            R 5\xa0900\xa0000\n        ', '\n\n            R 3\xa0200\xa0000\n        ', '\n\n            R 5\xa0000\xa0000\n        ', '\n\n            R 2\xa0795\xa0000\n        ', '\n\n            R 12\xa0995\xa0000\n        ', '\n\n            R 2\xa0850\xa0000\n        ', '\n\n            R 15\xa0950\xa0000\n        ', '\n\n            R 2\xa0495\xa0000\n        ', '\n\n            R 5\xa0950\xa0000\n        ', '\n\n            R 2\xa0795\xa0000\n        ', '\n\n            R 2\xa0350\xa0000\n        ', '\n\n            R 3\xa0150\xa0000\n        ', '\n\n            R 8\xa0700\xa0000\n        ', '\n\n            R 795\xa0000\n        ', '\n\n            R 6\xa0950\xa0000\n        ', '\n\n            R 1\xa0250\xa0000\n        ']","['65 m²', None, '651 m²', '73 m²', None, '93 m²', '818 m²', '155 m²', '73 m²', '143 m²', '622 m²', '261 m²', '263 m²', '231 m²', '73 m²', '78 m²', '91 m²', '936 m²', None, '898 m²', '79 m²']","['2', '7', '2', '1', None, '2', '2', '2', '2', '2', '2', '3.5', '1', '2.5', '2', '1', '1', '3', '1', '3.5', '2']","['2', '6', '4', '2', None, '2', '3', '2', '2', '2', '4', '3', '3', '3', '2', '2', '2', '5', '2', '3', '3']","['1', '3', '1', '2', None, '2', None, '2', '1', '2', '4', '2', '1', '4', '1', None, '1', '2', '1', '4', '2']"
"['Bantry Bay', 'Bantry Bay', 'Tokai', 'Cape Town City Centre', 'De Waterkant', 'Green Point', 'Walmer Estate', 'Cape Town City Centre', 'Oranjezicht', 'Foreshore', 'Cape Town City Centre', 'Cape Town City Centre', 'Sea Point', 'Fresnaye', 'St James', 'Woodstock', 'Woodstock', 'Green Point', 'St James', 'Woodstock', 'Constantia']","['\n\n            R 18\xa0995\xa0000\n        ', '\n\n            R 7\xa0950\xa0000\n        ', '\n\n            R 7\xa0695\xa0000\n        ', '\n\n            R 4\xa0600\xa0000\n        ', '\n\n            R 2\xa0850\xa0000\n        ', '\n\n            R 4\xa0795\xa0000\n        ', '\n\n            R 3\xa0950\xa0000\n        ', '\n\n            R 18\xa0800\xa0000\n        ', '\n\n            R 2\xa0425\xa0000\n        ', '\n\n            R 5\xa0400\xa0000\n        ', '\n\n            R 2\xa0590\xa0000\n        ', '\n\n            R 2\xa0495\xa0000\n        ', '\n\n            R 4\xa0550\xa0000\n        ', '\n\n            R 4\xa0295\xa0000\n        ', '\n\n            R 18\xa0500\xa0000\n        ', '\n\n            R 2\xa0250\xa0000\n        ', '\n\n            R 3\xa0850\xa0000\n        ', '\n\n            R 11\xa0900\xa0000\n        ', '\n\n            R 18\xa0500\xa0000\n        ', '\n\n            R 1\xa0350\xa0000\n        ', '\n\n            R 13\xa0250\xa0000\n        ']","['159 m²', '144 m²', '1 001 m²', '71 m²', '61 m²', '102 m²', '211 m²', '171 m²', '67 m²', '88 m²', '43 m²', '41 m²', '104 m²', '128 m²', '938 m²', '75 m²', '367 m²', '571 m²', '938 m²', '58 m²', '2 000 m²']","['2', '3', '2.5', '1', '1', '2', '3', '3', '1', '2', '1', '1', '1.5', '2', '11', '1', '2', '6', '11', '1', '3']","['2', '3', '3', '1', '1', '3', '3', '3', '1', '2', '0.5', '1', '2', '2', '11', '2', '3', '5', '11', '1', '5']","['1', '2', '6', '1', '2', '1', '1', '2', '1', '1', '1', '1', '1', '1', '3', '1', '2', '4', '3', '1', '4']"
"['Ottery', 'Cape Town City Centre', 'Steenberg Golf Estate', 'Diep River', 'Claremont Upper', 'Sea Point', 'Plumstead', 'Retreat', 'Llandudno', 'Cape Town City Centre', 'Silvertree Estate', 'Plumstead', 'Constantia', 'Sea Point', 'Clifton', 'Vredehoek', 'Tokai', 'Green Point', 'Green Point', 'Cape Town City Centre', 'Green Point']","['\n\n            R 5\xa0800\xa0000\n        ', '\n\n            R 32\xa0000\xa0000\n        ', '\n\n            R 14\xa0995\xa0000\n        ', '\n\n            R 1\xa0600\xa0000\n        ', '\n\n            R 2\xa0800\xa0000\n        ', '\n\n            R 7\xa0950\xa0000\n        ', '\n\n            R 2\xa0200\xa0000\n        ', '\n\n            R 2\xa0195\xa0000\n        ', '\n\n            R 19\xa0800\xa0000\n        ', '\n\n            R 2\xa0495\xa0000\n        ', '\n\n            R 10\xa0495\xa0000\n        ', '\n\n            R 1\xa0350\xa0000\n        ', '\n\n            R 11\xa0500\xa0000\n        ', '\n\n            R 3\xa0300\xa0000\n        ', '\n\n            R 55\xa0000\xa0000\n        ', '\n\n            R 2\xa0750\xa0000\n        ', '\n\n            R 4\xa0950\xa0000\n        ', '\n\n            R 14\xa0995\xa0000\n        ', '\n\n            R 3\xa0250\xa0000\n        ', '\n\n            R 9\xa0500\xa0000\n        ', '\n\n            R 3\xa0250\xa0000\n        ']","['803 m²', '191 m²', '747 m²', '85 m²', '86 m²', '111 m²', '491 m²', '572 m²', '991 m²', '114 m²', '603 m²', '88 m²', '2 032 m²', '101 m²', '355 m²', '81 m²', '1 085 m²', '314 m²', '107 m²', '229 m²', '107 m²']","['10', '2', '4', '1', '2', '2.5', '1', '2', '4', '2', '4', '1', '5', '1.5', '4.5', '2', '4', '4', '2', '2.5', '2']","['10', '2', '4', '2', '2', '2', '3', '3', '4', '2', '5', '2', '7', '2', '5', '2', '4', '5', '3', '2', '3']","['8', '2', '6', '1', '2', '2', '2', '2', '4', '1', '4', '1', '8', None, '4', '2', '4', '2', '1', '2', '1']"
"['Wynberg Upper', 'Cape Town City Centre', 'Green Point', 'Constantia', 'Camps Bay', 'Rosebank', 'Sea Point', 'Constantia', 'Salt River', 'Sea Point', 'Sea Point', 'Oranjezicht', 'Kirstenhof', 'Vredehoek', 'Kirstenhof', 'De Waterkant', 'Sea Point', 'Tamboerskloof', 'Waterfront', 'Camps Bay', 'Newlands']","['\n\n            R 5\xa0550\xa0000\n        ', '\n\n            R 2\xa0995\xa0000\n        ', '\n\n            R 4\xa0750\xa0000\n        ', '\n\n            R 8\xa0900\xa0000\n        ', '\n\n            R 9\xa0950\xa0000\n        ', '\n\n            R 1\xa0850\xa0000\n        ', '\n\n            R 1\xa0995\xa0000\n        ', '\n\n            R 11\xa0950\xa0000\n        ', '\n\n            R 1\xa0700\xa0000\n        ', '\n\n            R 7\xa0950\xa0000\n        ', '\n\n            R 10\xa0990\xa0000\n        ', '\n\n            R 2\xa0995\xa0000\n        ', '\n\n            R 2\xa0095\xa0000\n        ', '\n\n            R 2\xa0595\xa0000\n        ', '\n\n            R 2\xa0600\xa0000\n        ', '\n\n            R 3\xa0650\xa0000\n        ', '\n\n            R 10\xa0990\xa0000\n        ', '\n\n            R 3\xa0650\xa0000\n        ', '\n\n            R 19\xa0995\xa0000\n        ', '\n\n            R 65\xa0000\xa0000\n        ', '\n\n            R 4\xa0850\xa0000\n        ']","['918 m²', '90 m²', '84 m²', '2 670 m²', '301 m²', '97 m²', '72 m²', '2 743 m²', '68 m²', '267 m²', '226 m²', '104 m²', '87 m²', '73 m²', '840 m²', '100 m²', '226 m²', '88 m²', '159 m²', '1 034 m²', '894 m²']","['4', '2', '2', '2', '3.5', '1.5', '1', '4.5', '1', '3.5', '2', '1', '1', '2', '2', '2', '2', '1', '2', '8.5', '2']","['4', '2', '2', '3', '3', '3', '1', '5', '1', '4', '3', '3', '3', '2', '3', '2', '3', '2', '2', '8', '4']","['2', '2', '1', '7', '2', '2', '1', '2', None, None, '1', '1', '2', '2', '3', '4', '1', '1', '2', '8', '2']"
"['Cape Town City Centre', 'Meadowridge', 'Sea Point', 'Fresnaye', 'Muizenberg', 'Sea Point', 'Oranjezicht', 'Green Point', 'Clifton', 'Cape Town City Centre', 'Mouille Point', 'Sea Point', 'Sea Point', 'Oranjezicht', 'Rondebosch', 'Sea Point', 'Constantia', 'Gardens', 'Three Anchor Bay', 'Sea Point', 'Muizenberg']","['\n\n            R 2\xa0290\xa0000\n        ', '\n\n            R 3\xa0250\xa0000\n        ', '\n\n            R 3\xa0299\xa0000\n        ', '\n\n            R 5\xa0495\xa0000\n        ', '\n\n            R 1\xa0730\xa0000\n        ', '\n\n            R 4\xa0295\xa0000\n        ', '\n\n            R 2\xa0100\xa0000\n        ', '\n\n            R 4\xa0895\xa0000\n        ', '\n\n            R 8\xa0500\xa0000\n        ', '\n\n            R 1\xa0400\xa0000\n        ', '\n\n            R 4\xa0150\xa0000\n        ', '\n\n            R 4\xa0295\xa0000\n        ', '\n\n            R 2\xa0195\xa0000\n        ', '\n\n            R 2\xa0350\xa0000\n        ', '\n\n            R 5\xa0175\xa0000\n        ', '\n\n            R 8\xa0950\xa0000\n        ', '\n\n            R 32\xa0000\xa0000\n        ', '\n\n            R 2\xa0695\xa0000\n        ', '\n\n            R 2\xa0800\xa0000\n        ', '\n\n            R 6\xa0995\xa0000\n        ', '\n\n            R 850\xa0000\n        ']","['106 m²', '716 m²', '71 m²', '2 203 m²', '62 m²', '101 m²', '54 m²', '89 m²', '59 m²', '53 m²', '81 m²', '101 m²', '50 m²', '70 m²', '729 m²', '166 m²', '1 375 m²', '89 m²', '85 m²', '270 m²', '45 m²']","['1.5', '2', '1', '2', '1', '1.5', '1', '1', '1', '1', '2.5', '1.5', '1', '1', '3', '2', '4.5', '2', '1', '2.5', '1']","['1', '3', '1', '2', '1', '2', '1', '2', '1', '1', '2', '2', '1', '2', '4', '3', '4', '2', '3', '3', '2']","['1', '2', '1', '1', '1', '1', '1', '1', None, '1', None, '1', None, None, '7', '2', '8', '1', '1', '2', '1']"
"['Constantia', 'Claremont', 'Claremont Upper', 'Lakeside', 'Newlands', 'Oranjezicht', 'Woodstock', 'Newlands', 'Claremont', 'Sea Point', 'Kenilworth Upper', 'Claremont Upper', 'Rondebosch', 'Fresnaye', 'Oranjezicht', 'Sea Point', 'Zonnebloem', 'Claremont Upper', 'Gardens', 'Llandudno', 'Cape Town City Centre']","['\n\n            R 19\xa0900\xa0000\n        ', '\n\n            R 5\xa0450\xa0000\n        ', '\n\n            R 2\xa0350\xa0000\n        ', '\n\n            R 9\xa0980\xa0000\n        ', '\n\n            R 5\xa0200\xa0000\n        ', '\n\n            R 3\xa0400\xa0000\n        ', '\n\n            R 1\xa0950\xa0000\n        ', '\n\n            R 5\xa0200\xa0000\n        ', '\n\n            R 2\xa0500\xa0000\n        ', '\n\n            R 7\xa0950\xa0000\n        ', '\n\n            R 2\xa0925\xa0000\n        ', '\n\n            R 3\xa0175\xa0000\n        ', '\n\n            R 3\xa0995\xa0000\n        ', '\n\n            R 3\xa0799\xa0000\n        ', '\n\n            R 2\xa0100\xa0000\n        ', '\n\n            R 1\xa0850\xa0000\n        ', '\n\n            R 1\xa0600\xa0000\n        ', '\n\n            R 2\xa0450\xa0000\n        ', '\n\n            R 4\xa0500\xa0000\n        ', '\n\n            R 17\xa0995\xa0000\n        ', '\n\n            R 1\xa0795\xa0000\n        ']","['1 437 m²', '145 m²', '75 m²', '1 228 m²', '495 m²', '138 m²', '82 m²', '495 m²', '312 m²', '174 m²', '112 m²', '81 m²', '319 m²', '120 m²', '66 m²', '52 m²', '63 m²', '122 m²', '141 m²', '993 m²', '63 m²']","['5.5', '2', '2', '6', '2', '2', '2', '2', '2', '2.5', '2', '3', '2.5', '1', '1', '1', '1', '2', '2', '5', '1']","['5', '3', '2', '10', '3', '3', '2', '3', '3', '3', '3', '2', '3', '2', '1', '0.5', '2', '2', '3', '4', '1']","['7', '2', '1', '8', '2', '1', '2', '2', '3', '1', '2', '1', '5', '1', '1', None, '1', '3', '2', '5', '1']"
"['Kenilworth', 'Vredehoek', 'Zonnebloem', 'Cape Town City Centre', 'Kenilworth', 'Bergvliet', 'Camps Bay', 'Claremont', 'Cape Town City Centre', 'Cape Town City Centre', 'Vredehoek', 'Vredehoek', 'Cape Town City Centre', 'Constantia', 'Bantry Bay', 'Plumstead', 'Mouille Point', 'Sea Point', 'Bergvliet', 'Sea Point', 'Cape Town City Centre']","['\n\n            R 1\xa0875\xa0000\n        ', '\n\n            R 1\xa0595\xa0000\n        ', '\n\n            R 1\xa0600\xa0000\n        ', '\n\n            R 2\xa0800\xa0000\n        ', '\n\n            R 2\xa0750\xa0000\n        ', '\n\n            R 3\xa0650\xa0000\n        ', '\n\n            R 11\xa0900\xa0000\n        ', '\n\n            R 4\xa0400\xa0000\n        ', '\n\n            R 2\xa0650\xa0000\n        ', '\n\n            R 1\xa0360\xa0000\n        ', '\n\n            R 2\xa0495\xa0000\n        ', '\n\n            R 2\xa0495\xa0000\n        ', '\n\n            R 4\xa0250\xa0000\n        ', '\n\n            R 13\xa0650\xa0000\n        ', '\n            POA\n        ', '\n\n            R 1\xa0900\xa0000\n        ', '\n\n            R 10\xa0850\xa0000\n        ', '\n\n            R 1\xa0950\xa0000\n        ', '\n\n            R 3\xa0450\xa0000\n        ', '\n\n            R 2\xa0899\xa0000\n        ', '\n\n            R 19\xa0500\xa0000\n        ']","['82 m²', '45 m²', '75 m²', '67 m²', '242 m²', '833 m²', '902 m²', '396 m²', '80 m²', '30 m²', '85 m²', '85 m²', '109 m²', '781 m²', '109 m²', '184 m²', '177 m²', '52 m²', '612 m²', '71 m²', '211 m²']","['1.5', '1', '2', '1', '1', '3', '5', '2', '1', '1', '1', '1', '1.5', '3', '2', '2', '2', '1', '2', '1', '3.5']","['2', '0.5', '3', '1', '2', '4', '5', '4', '1', None, '2', '2', '2', '3', '2', '3', '2', '0.5', '3', '1', '3']","['2', '1', '1', '1', '1', '4', '3', '3', None, '1', '2', '2', '1', '2', None, '2', '2', '1', '2', None, '2']"
"['Wynberg Upper', 'Fresnaye', 'Green Point', 'Woodstock', 'Rondebosch', 'Sea Point', 'Camps Bay', 'Constantia', 'Green Point', 'Diep River', 'Claremont Upper', 'Constantia', 'Plumstead', 'Mouille Point', 'Claremont', 'Claremont', 'Oranjezicht', 'Rondebosch', 'Sea Point', 'Mouille Point', 'Sea Point']","['\n\n            R 2\xa0800\xa0000\n        ', '\n\n            R 12\xa0950\xa0000\n        ', '\n\n            R 2\xa0450\xa0000\n        ', '\n\n            R 1\xa0725\xa0000\n        ', '\n\n            R 1\xa0295\xa0000\n        ', '\n\n            R 1\xa0690\xa0000\n        ', '\n\n            R 14\xa0890\xa0000\n        ', '\n\n            R 12\xa0750\xa0000\n        ', '\n\n            R 3\xa0400\xa0000\n        ', '\n\n            R 2\xa0450\xa0000\n        ', '\n\n            R 1\xa0150\xa0000\n        ', '\n\n            R 13\xa0595\xa0000\n        ', '\n\n            R 1\xa0925\xa0000\n        ', '\n\n            R 35\xa0000\xa0000\n        ', '\n\n            R 3\xa0495\xa0000\n        ', '\n\n            R 3\xa0795\xa0000\n        ', '\n\n            R 11\xa0900\xa0000\n        ', '\n\n            R 1\xa0295\xa0000\n        ', '\n\n            R 5\xa0800\xa0000\n        ', '\n\n            R 2\xa0100\xa0000\n        ', '\n\n            R 1\xa0690\xa0000\n        ']","['712 m²', '688 m²', '90 m²', '129 m²', '41 m²', '60 m²', '507 m²', '448 m²', '61 m²', '703 m²', '33 m²', '814 m²', '284 m²', '449 m²', '516 m²', '443 m²', '501 m²', '46 m²', '139 m²', '32 m²', '60 m²']","['3', '3.5', '1', '1', '1', '1', '4.5', '3', '1', '2.5', '1', '3', '2', '4.5', '2.5', '2', '5', '1', '2', '1', '1']","['3', '4', '2', '3', None, '1', '4', '3', '1', '3', '0.5', '3', '3', '3', '3', '3', '4', '1', '3', '1', '1']","['4', '6', None, None, None, None, '2', '2', '1', '3', '1', '2', '2', '3', '3', None, '2', '1', '2', '1', None]"
