location,price,floor_size,bathrooms,bedrooms,parking
Green Point,8750000,175,2,2,2
Sea Point,15999000,300,4.5,4,2
Observatory,1900000,65,2,2,1
Bantry Bay,18995000,159,2,2,1
Ottery,5800000,803,10,10,8
Wynberg Upper,5550000,918,4,4,2
Cape Town City Centre,2290000,106,1.5,1,1
Constantia,19900000,1 437,5.5,5,7
Kenilworth,1875000,82,1.5,2,2
Wynberg Upper,2800000,712,3,3,4
Sea Point,4250000,178,2,2,2
Claremont,1699000,130,1,2,2
Vredehoek,1450000,42,1,1,1
Wynberg Upper,3750000,100,2,2,2
Constantia,5950000,1 561,2.5,4,5
Kenilworth,1850000,104,1,2,2
Marina Da Gama,1590000,174,2,2,2
Bergvliet,3895000,862,3,3,7
Newlands,5900000,628,2.5,3,2
Bantry Bay,13000000,149,2,2,1
Sea Point,2150000,81,1,2,None
Sea Point,2800000,None,2,2,None
Muizenberg,2793000,402,2,4,None
Constantia,5150000,792,2,4,4
Green Point,1750000,51,1,None,None
Bantry Bay,12950000,151,2,3,1
Claremont Upper,1595000,74,1,2,1
Mouille Point,7500000,91,1,2,1
Lakeside,3499000,659,2,3,5
Maitland,810000,54,1,2,None
Newlands,2495000,103,1,2,2
Maitland,450000,26,1,1,1
Sea Point,2750000,97,1.5,2,1
Wynberg Upper,2300000,126,2,3,2
Kenilworth Upper,1950000,54,1,1,1
Oranjezicht,9500000,495,2.5,5,2
Mowbray,1700000,130,1,3,None
Kenilworth,1995000,106,2,2,1
Sea Point,1495000,38,1,None,None
Heathfield,2395000,595,2,3,6
Salt River,1595000,64,1,2,1
Sea Point,8995000,140,2,2,1
Observatory,2295000,157,1,2,2
Wynberg,375000,30,1,1,1
Clifton,18950000,266,2,3,2
Thornton,2895000,717,3,5,5
Observatory,1520000,119,1,2,None
Kenilworth,2850000,None,2.5,3,2
Kenilworth Upper,9600000,1 249,9,11,8
Kenwyn,2995000,689,2,4,5
Wynberg Upper,2750000,136,1,1,1
Observatory,2150000,258,1,3,1
Kenilworth Upper,2195000,99,1,2,3
Sea Point,1750000,50,1,1,1
Wynberg Upper,2450000,90,2,2,2
Rondebosch,1550000,74,1,2,1
Claremont,1290000,75,1,2,1
Charlesville,1150000,399,2,3,2
Claremont,3450000,147,3,3,1
Tamboerskloof,1250000,28,1,1,1
Sea Point,2995000,94,1.5,2,1
Diep River,850000,44,1,1,None
Sea Point,3950000,197,1,2,1
Sea Point,4200000,138,2,3,1
Plumstead,2895000,102,2,2,None
Sunnyside,2200000,385,1.5,3,None
Mouille Point,7900000,127,2,3,1
Sea Point,2200000,63,1,1,1
Green Point,7900000,511,3.5,3,2
Fresnaye,7495000,153,2,3,3
Cape Town City Centre,4200000,140,2,2,1
Muizenberg,950000,61,1,1,1
Observatory,1950000,118,1,2,None
Gardens,2800000,79,1,2,1
Tamboerskloof,5350000,191,2.5,2,1
Constantia,4590000,1 009,4.5,4,4
Rondebosch,1685000,None,2,3,1
Claremont,1599000,53,None,1,1
Muizenberg,1160000,201,1,2,4
Woodstock,2999999,79,1,2,None
Claremont Upper,1400000,51,1,1,1
Bishopscourt,12500000,None,2.5,3,3
Claremont Upper,2100000,66,1,2,None
Kenwyn,3650000,718,3,5,6
Zonnebloem,1395000,65,1,2,None
Walmer Estate,6995000,666,1,4,None
Fresnaye,8200000,396,2,4,3
Gardens,3800000,93,2,2,1
Oranjezicht,2500000,71,1,2,1
Newlands,3145000,144,1.5,3,3
Observatory,2195000,124,1,2,None
Claremont,5995000,377,4,4,None
Observatory,3700000,182,2,3,1
Marina Da Gama,1950000,369,3,4,1
Diep River,2995000,496,3,4,2
Wetton,2150000,595,2,4,None
Newlands,4900000,330,2,3,None
Newlands,1795000,None,1,2,1
Vredehoek,5995000,215,1.5,3,2
Woodstock,1099999,140,1,4,None
Claremont Upper,2595000,82,2,2,1
Oranjezicht,12000000,484,7,7,1
De Waterkant,4350000,87,1,1,1
Green Point,4950000,116,2,2,2
Pinelands,4450000,979,4,4,2
Green Point,7950000,378,3,3,1
Rondebosch,2000000,66,2,2,1
Lotus River,1545000,500,1,3,2
Woodstock,1200000,81,1,2,None
Tokai,3750000,547,3,4,5
Rondebosch,1999000,112,2,2,None
Bergvliet,3900000,854,2,5,4
Claremont Upper,1500000,73,2,2,1
Sea Point,2250000,63,1,1,1
Kirstenhof,1250000,56,1,2,1
Wynberg Upper,1425000,85,2,2,2
Fresnaye,4800000,184,2,3,2
Fresnaye,7500000,120,2,2,None
Vredehoek,4365000,225,2,3,2
De Waterkant,5499000,102,2.5,2,2
Claremont,3250000,318,2,3,1
Waterfront,6995000,84,1,1,1
Observatory,2550000,173,3,3,None
Sea Point,10495000,145,2.5,2,2
Pinelands,740000,38,1,1,1
Kensington,1850000,495,2,3,1
De Waterkant,2500000,67,1,1,None
Sea Point,3450000,70,2,2,None
Observatory,2395000,244,2,3,2
Woodstock,1795000,59,1,1,1
Cape Town City Centre,1795000,35,1,None,1
Sea Point,3950000,76,2,2,1
Muizenberg,1150000,88,2,3,None
Mouille Point,2050000,32,1,0.5,None
Llandudno,31995000,431,4.5,4,4
Retreat,695000,None,1,2,1
Pinati,2299000,None,2,4,None
Rondebosch,1295000,41,1,1,1
Rosebank,2500000,173,1.5,2,None
Cape Town City Centre,2200000,43,1,1,1
Muizenberg,1500000,77,2,2,None
Lansdowne,980000,62,1,2,1
Sea Point,3495000,94,1,2,1
Bo Kaap,1850000,104,1,3,None
Gardens,1950000,45,1,1,1
Camps Bay,12850000,658,6,6,5
Waterfront,14995000,142,2,2,2
Mowbray,3145000,702,2,4,5
Belgravia,3150000,496,4,6,8
Woodstock,1395000,43,1,2,1
Three Anchor Bay,2995000,54,1,1,1
Constantia,14500000,1 526,4.5,6,6
Muizenberg,879000,34,1,1,1
Muizenberg,1265000,61,1,1,1
Vredehoek,1490000,70,1,2,None
Salt River,1155000,56,1,1,1
Camps Bay,10900000,994,2,2,2
Llandudno,25500000,768,4,4,3
Plumstead,1100000,65,1,1,1
Rondebosch,3850000,420,2,3,1
Observatory,3250000,None,1.5,1,1
Gardens,1900000,60,1.5,1,None
Plumstead,4750000,496,3,4,3
Cape Town City Centre,2000000,32,1,1,1
Sea Point,1680000,None,1,None,None
Plumstead,1225000,81,1.5,2,1
Zonnebloem,1395000,59,1,2,None
Observatory,3995000,250,2,3,2
Muizenberg,1300000,104,2,3,None
Mouille Point,3200000,49,1,1,1
Lakeside,1895000,250,1,3,2
Woodstock,2595000,None,1,2,None
Kenilworth Upper,3750000,160,2,3,2
Pelican Park,495000,83,1,2,1
Claremont Upper,5900000,310,2,3,3
Rondebosch,2250000,107,2,3,1
Sea Point,3590000,89,1,2,1
Mouille Point,3200000,None,1,1,1
Foreshore,3250000,55,1,1,1
Waterfront,24000000,296,3,3,3
Rondebosch,1990000,81,1,2,1
Constantia,7995000,1 552,4.5,7,6
Kenwyn,3900000,595,4,5,None
De Waterkant,3295000,76,1,2,1
Cape Town City Centre,5750000,83,1,1,1
Sea Point,6500000,139,2.5,2,None
Nyanga,580000,275,2,2,1
Observatory,1900000,None,1,3,None
Vredehoek,1950000,69,1,2,2
Claremont Upper,3250000,89,2,2,3
Cape Town City Centre,1550000,55,1,1,1
Plumstead,1350000,77,1,2,1
Constantia,23950000,2 000,4.5,4,2
Rondebosch,2295000,95,1,3,1
Claremont Upper,2795000,175,2,3,None
Plumstead,749000,30,1,1,None
Observatory,1995000,101,1,1,None
Wynberg,1325000,100,1,2,1
Sea Point,7495000,124,2,3,2
Tamboerskloof,16900000,496,4,4,2
Fresnaye,17385000,None,3,3,2
Constantia,7850000,3 380,6.5,7,10
Pelican Park,2250000,300,2,4,3
Grassy Park,1795000,625,2,3,2
Gardens,4650000,140,1,3,None
Sea Point,5300000,96,1,1,1
Observatory,3295000,160,2.5,3,2
Cape Town City Centre,1695000,51,1,None,1
Observatory,1500000,84,1,2,None
Kenilworth,1895000,None,2,2,1
Gardens,1890000,None,1,1,None
Cape Town City Centre,3195000,74,2,2,2
Cape Town City Centre,,162,1,2,1
Salt River,1350000,54,1,1,None
Newlands,5250000,120,2,2,2
Kenilworth Upper,2495000,156,2,3,2
Woodstock,1695000,None,1,1,1
Kenilworth,2795000,88,2,3,2
Bantry Bay,31999000,None,3.5,3,2
Foreshore,3950000,138,2,2,2
Gardens,1295000,42,1,0.5,None
Diep River,1695000,197,1,2,2
Foreshore,4800000,141,2,2,None
Wynberg Upper,1895000,None,1,2,1
Sea Point,4500000,113,2,2,1
Gardens,3800000,139,1,1,None
Rondebosch Village,3050000,314,2,3,1
Sea Point,4800000,None,2,2,2
Gardens,2950000,81,1,2,1
Sea Point,1695000,62,1,None,None
Sea Point,2950000,76,1,2,1
Bantry Bay,8950000,504,2,3,2
Cape Town City Centre,2495000,67,1,1,1
Walmer Estate,3995000,285,3,6,None
Green Point,5395000,142,2,2,2
Fresnaye,3600000,98,2,2,1
Cape Town City Centre,1800000,50,1,1,1
Belhar,785000,45,1,2,1
Gardens,4300000,265,1,3,5
Woodstock,1400000,63,1,0.5,1
Cape Town City Centre,9500000,274,2,2,2
Woodstock,1749999,118,1,2,1
De Waterkant,4495000,76,1,2,1
Cape Town City Centre,1050000,38,1,0.5,None
Cape Town City Centre,5000000,87,2,2,2
Salt River,1795000,84,1.5,1,1
Sea Point,6050000,82,2,2,None
Sea Point,7900000,125,2,2,2
Kenilworth Upper,8590000,1 066,5,6,2
Heathfield,1350000,160,1,2,2
Sea Point,1680000,44,1,None,None
Green Point,5500000,141,2.5,3,3
Bergvliet,3600000,981,2.5,4,6
