Location,Price,Bedrooms,Bathrooms,Parking,Floor Size,Erf Size,Description
Waterfront,28000000,3,3,2,192,,
Waterfront,55000000,3,3.5,2,410,,
Constantia,5995000,3,3,3,,1487,"            If Position, Presentation and Price is important then we have what you are looking for!SOLE MANDATEWell positioned home in ...        "
Constantia,4950000,,,,,2448,
Pinelands,1895000,2,1,2,75,,"            New release - Joint mandate.Move right in to this newly &  completely renovated, sunny & bright 2 bedroom apartment.  Open ...        "
WynbergUpper,1750000,1,1,1,53,,            88 on Constantia is set in a prime location in sought-after Constantia surrounds and is ...        
Vredehoek,1385000,1,1,1,51,,
Oranjezicht,9900000,,,,677,,
Zonnebloem,1799000,2,1,1,,,"            This apartment has it all;  location, good security, basement parking, gym and laundry on the ground floor and views that will take ...        "
Pinelands,1895000,2,1,2,75,,            Secure apartment living in quiet complex with lofty views. Sunny reception rooms and ...        
Tamboerskloof,2900000,3,1,1,92,,"            This spacious apartment in a quiet part of Tamboerskloof offers 3 bedrooms, or 2 bedrooms (the third can be used as a dining room), a ...        "
Constantia,5700000,3,3,2,253,,"            This absolutely perfect duplex town House is situated across from a green parkway, with unspoilt views toward Constantiaberg. Upon ...        "
Tokai,3800000,,,,,389,
GreenPoint,8750000,2,2,2,175,,            Sole mandate and see short video and floor plan.Located in the quiet Chepstow Road ...        
Muizenberg,1265000,1,1,1,61,,
HarfieldVillage,2500000,2,2,1,,209,
Tokai,6480000,3,3,2,,304,
Kenilworth,2775000,3,2.5,3,139,,            Enter this property through a high wooden gate or directly from the attached garage and ...        
Oranjezicht,9900000,6,3,8,,677,
SurreyEstate,1599000,,,,,595,"            Sole and Exclusive Mandate!Situated in Winter crescent, this home is perfect for an extended family and is currently being utilized  ...        "
Tokai,4450000,4,3,5,,1085,"            Under the Yellowwood Tree!!Situated in a quiet, cul-de-sac road close to a children's play park, this north-facing, immaculate ...        "
SeaPoint,6250000,3,3,2,140,,"            BEAUTIFUL TOWNHOUSE WITH A GARDEN AND DOUBLE GARAGEThis newly renovated, modern ...        "
SeaPoint,4950000,2,2,1,,281,"            Charming Victorian home available in the heart of Sea Point. Enjoy a day relaxing by the pool, strolling along the promenade or hosting ...        "
CampsBay,13950000,4,3.5,4,,659,            This recently renovated home in Camps Bay is perfect for family living and entertaining. Generously proportioned rooms and excellent ...        
KenilworthUpper,20000000,,,,650,,"            Seldom does a property of this stature come onto the market. This 120-year-old property, exquisitely maintained, is currently run as a ...        "
Ottery,1050000,2,1,1,,,"            What a Bargain!!!!!!!!!Fully fitted kitchen2 bedrooms (1 x bedroom BIC)  Bathroom (Shower,toilet,hand basin and small vanity ...        "
Kenilworth,1500000,2,1,2,,,            2 Bedroom Sectional Title For Sale in KenilworthSpacious North Facing 2 Bed apartment situated in the heart of Lower ...        
GreenPoint,7500000,,,,310,,            Stunning character property in a prime location.Character interior with some updated ...        
Thornton,720000,1,1,1,,,            A neat 1 bedroom flat on second floor in secure complex with 24 hour security and ...        
DiepRiver,3200000,5,3,4,,544,            Stepping into this character filled family home makes you want to move right in and make it your own. Set on 544sqm in what was ...        
WalmerEstate,6995000,3,3,4,,402,"            Designed with understated elegance & exceptional finishes, this beautiful home is situated high up in Walmer Estate on a prime ...        "
CapeTownCityCentre,975000,1,1,1,32,,            The SIX is a trendy block of apartments on the doorstep of the popular Cafes and ...        
BantryBay,3500000,2,1,,86,,            Fully furnished with all the amenities for a short or long term investment property.  ...        
SeaPoint,15999000,4,4.5,2,300,,            All the space you need for a comfortable lifestyle.  Huge open terrace with stunning sea views.3/4 bedrooms (all ensuite}   4th  ...        
Zonnebloem,1090000,,1,1,32,,            WELL PRICED UNIT FOR SALEThis unit has a neat and modern kitchen and the block is very ...        
Gardens,4850000,4,4.5,2,,252,"            Situated in one of Cape Town's oldest historical streets, awaits this delightful ...        "
Retreat,1695000,5,2,,,,"            This property is situated in Allenby Estate Retreat and house nr. 1 consist of 3 bedrooms, fitted kitchen, lounge, spacious lounge and ...        "
Muizenberg,1265000,1,1,1,61,,
Parkwood,690000,3,1,6,,,            Investment Property!!!Property needs LOTS OF TLC.Huge yard to build flats or to extend the property.3 ...        
SeaPoint,2850000,1,2,1,67,,"            This is your opportunity for you or your loved one to secure a quiet, relaxed, self ...        "
Pinelands,3200000,3,2,,,818,            SOLE & EXCLUSIVE TO PROPERTYFOX AGENTA beautiful house in the heart of Pinelands ...        
Tamboerskloof,4950000,2,2,1,93,,            This very special light & bright north facing apartment is part of a heritage block ...        
